LSOA11CD,Income_2019,Income_2025_pred,confidence,boundary_changed,change,pct_change
E01000064,0.208,0.39086376040113746,1.0,0,0.18286376040113747,87.9152694236238
E01000065,0.228,0.4335917874699261,1.0,0,0.2055917874699261,90.17183660961672
E01000066,0.147,0.32808194499573484,1.0,0,0.18108194499573485,123.184996595738
E01000067,0.132,0.3045112317675955,1.0,0,0.17251123176759547,130.69032709666325
E01000068,0.123,0.28037013571047287,1.0,0,0.15737013571047287,127.94319976461209
E01000069,0.087,0.21979759602849,1.0,0,0.13279759602849,152.64091497527588
E01000070,0.11,0.2642527235812505,1.0,0,0.15425272358125053,140.22974871022774
E01000071,0.13,0.3026582344583599,1.0,0,0.17265823445835987,132.81402650643068
E01000072,0.241,0.47406588337070077,1.0,0,0.23306588337070078,96.7078354235273
E01000073,0.209,0.41342374456166053,1.0,0,0.20442374456166054,97.8104040964883
E01000074,0.234,0.40118530247676853,1.0,0,0.16718530247676852,71.44671046015749
E01000075,0.196,0.3611834466104061,1.0,0,0.16518344661040607,84.27726867877861
E01000076,0.208,0.40785790550895673,1.0,0,0.19985790550895674,96.08553149469076
E01000077,0.251,0.4391930785241069,1.0,0,0.18819307852410688,74.97732212115812
E01000078,0.228,0.4362202678142896,1.0,0,0.20822026781428957,91.32467886591647
E01000079,0.227,0.38900010951693276,1.0,0,0.16200010951693275,71.36568701186465
E01000080,0.19,0.38003231715564545,1.0,0,0.19003231715564545,100.01700902928708
E01000081,0.162,0.3577080310209841,1.0,0,0.19570803102098408,120.80742655616302
E01000082,0.158,0.37572778979841814,1.0,0,0.21772778979841814,137.80239860659375
E01000083,0.196,0.4294078501146398,1.0,0,0.23340785011463977,119.08563781359172
E01000084,0.229,0.3960739836028334,1.0,0,0.1670739836028334,72.95807144228532
E01000085,0.189,0.4299806781768166,1.0,0,0.24098067817681662,127.50300432635801
E01000086,0.218,0.4077427792888158,1.0,0,0.1897427792888158,87.03797215083294
E01000087,0.226,0.4143349874510467,1.0,0,0.18833498745104668,83.33406524382596
E01000088,0.147,0.361552248546949,1.0,0,0.21455224854694901,145.9539105761558
E01000089,0.156,0.41729981719283604,1.0,0,0.261299817192836,167.49988281592053
E01000090,0.169,0.3913512561055643,1.0,0,0.2223512561055643,131.56879059500847
E01000091,0.256,0.5034904203255486,1.0,0,0.24749042032554858,96.67594543966742
E01000092,0.215,0.4207766147992037,0.75,1,0.2057766147992037,95.71005339497846
E01000093,0.26,0.49117254444914216,1.0,0,0.23117254444914215,88.9125170958239
E01000094,0.167,0.3821665280862655,1.0,0,0.2151665280862655,128.84223238698533
E01000095,0.196,0.42465470692085483,1.0,0,0.22865470692085482,116.66056475553816
E01000096,0.259,0.47747402534342076,1.0,0,0.21847402534342075,84.35290553800029
