LSOA11CD,AdultSkills_2019,AdultSkills_2025_pred,confidence,boundary_changed,change,pct_change
E01000277,0.196,0.20702934785309157,1.0,0,0.011029347853091565,5.627218292393655
E01000278,0.143,0.11193669101149925,1.0,0,-0.031063308988500737,-21.722593698252265
E01000279,0.175,0.13437050387693894,1.0,0,-0.04062949612306105,-23.21685492746346
E01000280,0.149,0.10039463591165584,1.0,0,-0.04860536408834415,-32.62104972372091
E01000281,0.243,0.18505294150305998,1.0,0,-0.05794705849694001,-23.84652613042799
E01000282,0.183,0.15393950326544947,1.0,0,-0.029060496734550523,-15.880052860410121
E01000283,0.123,0.09245321776220083,1.0,0,-0.030546782237799164,-24.83478230715379
E01000284,0.201,0.21833721224560915,1.0,0,0.017337212245609135,8.625478729158774
E01000285,0.281,0.20944452281233336,1.0,0,-0.07155547718766667,-25.464582629062868
E01000286,0.284,0.24881068468377507,1.0,0,-0.035189315316224906,-12.390603984586235
E01000287,0.348,0.27724449276131097,1.0,0,-0.07075550723868901,-20.332042309968106
E01000288,0.255,0.18204140139012864,1.0,0,-0.07295859860987136,-28.611215141126024
E01000289,0.394,0.3356432846400971,1.0,0,-0.058356715359902944,-14.811349076117498
E01000290,0.285,0.22008517541222805,1.0,0,-0.06491482458777192,-22.77713143430594
E01000291,0.392,0.28664416999145703,1.0,0,-0.10535583000854298,-26.876487247077293
E01000292,0.211,0.16378824082008545,1.0,0,-0.04721175917991455,-22.37524131749505
E01000293,0.173,0.1273180632579392,1.0,0,-0.04568193674206078,-26.40574378153803
E01000294,0.18,0.16854526088948046,1.0,0,-0.01145473911051953,-6.363743950288628
E01000295,0.147,0.1442085986099879,1.0,0,-0.002791401390012105,-1.8989125102123163
E01000296,0.144,0.15951757017123824,1.0,0,0.015517570171238254,10.776090396693233
E01000297,0.207,0.21096651707851455,1.0,0,0.003966517078514559,1.9161918253693522
E01000298,0.151,0.15513568350989107,1.0,0,0.004135683509891075,2.7388632515834934
E01000299,0.176,0.2161924860201086,1.0,0,0.04019248602010861,22.83663978415262
E01000300,0.152,0.1327191923495687,1.0,0,-0.019280807650431303,-12.684741875283752
E01000301,0.153,0.12436404973865448,1.0,0,-0.028635950261345522,-18.716307360356552
E01000302,0.177,0.2096755966014145,1.0,0,0.0326755966014145,18.460789040347176
E01000303,0.152,0.12489179517911393,1.0,0,-0.027108204820886064,-17.834345276898727
E01000304,0.132,0.15540582797758967,1.0,0,0.023405827977589666,17.731687861810354
