LSOA11CD,IDACI_2019,IDACI_2025_pred,confidence,boundary_changed,change,pct_change
E01000106,0.316,0.6378703473748952,1.0,0,0.3218703473748952,101.85770486547318
E01000107,0.221,0.4927038728385469,1.0,0,0.2717038728385469,122.94292888622032
E01000108,0.275,0.5338129523759334,1.0,0,0.2588129523759334,94.11380086397577
E01000109,0.15,0.47173815599328217,0.75,1,0.32173815599328215,214.49210399552143
E01000110,0.149,0.34253528904518765,1.0,0,0.19353528904518766,129.88945573502528
E01000111,0.196,0.5021733457257687,1.0,0,0.30617334572576865,156.21089067641256
E01000112,0.168,0.4629221460806927,1.0,0,0.29492214608069267,175.54889647660278
E01000113,0.213,0.4859634954193818,1.0,0,0.2729634954193818,128.15187578374733
E01000114,0.167,0.507042260953041,1.0,0,0.3400422609530409,203.6181203311622
E01000115,0.073,0.12824969639969228,1.0,0,0.05524969639969228,75.68451561601682
E01000116,0.063,0.1790116174093498,1.0,0,0.11601161740934979,184.14542445928538
E01000117,0.051,0.2106678909295385,1.0,0,0.1596678909295385,313.0742959402716
E01000118,0.094,0.25478113108286804,1.0,0,0.16078113108286804,171.04375647113622
E01000119,0.066,0.19127161854197572,1.0,0,0.12527161854197572,189.80548263935714
E01000120,0.048,0.14618592235232436,1.0,0,0.09818592235232436,204.55400490067572
E01000121,0.294,0.4869621883248324,1.0,0,0.19296218832483242,65.63339738939878
E01000122,0.053,0.1844832182859061,1.0,0,0.13148321828590612,248.08154393567193
E01000123,0.114,0.32329712908737945,1.0,0,0.20929712908737946,183.5939728836662
E01000124,0.191,0.4573720313847505,1.0,0,0.2663720313847505,139.4617965365186
E01000125,0.21,0.593383052311618,0.75,1,0.38338305231161807,182.56335824362765
E01000126,0.27,0.6275113277421416,1.0,0,0.35751132774214156,132.41160286745983
E01000127,0.224,0.5700581536800293,1.0,0,0.34605815368002935,154.49024717858453
E01000128,0.236,0.5913555340269818,1.0,0,0.35535553402698183,150.57437882499232
E01000129,0.176,0.6765753674540103,1.0,0,0.5005753674540103,284.41782241705135
E01000130,0.203,0.48910943701069587,1.0,0,0.28610943701069586,140.9406093648748
E01000131,0.11,0.49909036658143874,1.0,0,0.38909036658143875,353.7185150740352
E01000132,0.232,0.5750191958925238,1.0,0,0.34301919589252383,147.853101677812
E01000133,0.153,0.5231459076795472,1.0,0,0.37014590767954714,241.92542985591317
E01000134,0.212,0.4968818883348057,1.0,0,0.28488188833480566,134.37824921453097
E01000135,0.089,0.24705753296636102,1.0,0,0.15805753296636102,177.59273367006855
E01000136,0.023,0.07347088469810473,1.0,0,0.05047088469810473,219.43862912219447
E01000137,0.301,0.5697852708192143,1.0,0,0.2687852708192143,89.29743216585192
E01000138,0.217,0.47636605640352747,1.0,0,0.2593660564035275,119.52352829655645
E01000139,0.11,0.30840278453936326,1.0,0,0.19840278453936327,180.36616776305752
E01000140,0.175,0.38206437216651884,1.0,0,0.20706437216651885,118.32249838086793
E01000141,0.207,0.5658084167001516,1.0,0,0.3588084167001516,173.33739937205394
E01000142,0.162,0.5368746349027083,1.0,0,0.3748746349027082,231.40409561895567
E01000143,0.318,0.6005180611322223,1.0,0,0.2825180611322223,88.84215758874913
