LSOA11CD,Indoors_2019,Indoors_2025_pred,confidence,boundary_changed,change,pct_change
E01000126,0.15,-0.13550853965173154,1.0,0,-0.2855085396517315,-190.33902643448766
E01000127,-0.086,0.006713536883747217,1.0,0,0.09271353688374721,-107.80643823691538
E01000128,0.033,0.10076684739134031,1.0,0,0.06776684739134031,205.35408300406155
E01000129,-0.263,0.0628548398997998,1.0,0,0.3258548398997998,-123.89917866912538
E01000130,0.665,0.10462195085232173,1.0,0,-0.5603780491476783,-84.26737581168095
E01000131,-0.583,-0.10325964941107166,1.0,0,0.4797403505889283,-82.28822480084534
E01000132,-0.015,0.170642164929545,1.0,0,0.185642164929545,-1237.6144328636335
E01000133,-0.005,0.2091371192035218,1.0,0,0.2141371192035218,-4282.742384070436
E01000134,0.289,0.23040495530675353,1.0,0,-0.058595044693246445,-20.27510196998147
E01000135,0.226,0.376192539320096,1.0,0,0.150192539320096,66.45687580535221
E01000136,0.574,0.6401519328421527,1.0,0,0.0661519328421527,11.524726975984793
E01000137,-0.312,-0.08472389549142015,1.0,0,0.22727610450857985,-72.84490529121149
E01000138,0.277,0.3513750052332082,1.0,0,0.07437500523320817,26.850182394659985
E01000139,0.105,0.45856491741366545,1.0,0,0.35356491741366547,336.7284927749195
E01000140,0.378,0.3845322322540193,1.0,0,0.006532232254019277,1.7281037709045706
E01000141,0.881,0.5002741963580949,1.0,0,-0.3807258036419051,-43.21518770055677
E01000142,0.257,-0.04352552518168648,1.0,0,-0.3005255251816865,-116.93600201622044
E01000143,-0.784,-0.1889945068863951,1.0,0,0.595005493113605,-75.89355779510267
E01000144,-0.009,0.438627359148003,1.0,0,0.447627359148003,-4973.637323866701
E01000145,0.328,0.5087021050556966,1.0,0,0.18070210505569656,55.09210519990748
E01000146,0.142,0.47794685467828746,1.0,0,0.33594685467828744,236.58229202696302
E01000147,0.368,0.3171021774317047,1.0,0,-0.05089782256829528,-13.830930045732414
E01000148,0.131,0.03867210944478824,0.75,1,-0.09232789055521176,-70.47930576733721
E01000150,0.539,0.023236799490264703,1.0,0,-0.5157632005097353,-95.68890547490452
E01000151,-0.321,-0.07046336603329592,1.0,0,0.2505366339667041,-78.04879562825674
E01000152,-0.611,-0.3012919032635598,1.0,0,0.3097080967364402,-50.68872287012114
E01000153,-0.399,-0.25201373071082156,1.0,0,0.14698626928917846,-36.83866398225024
E01000154,-0.05,-0.14888729676040488,1.0,0,-0.09888729676040488,197.77459352080973
E01000155,1.213,0.2636408161932587,0.75,1,-0.9493591838067414,-78.26539025612047
E01000156,-0.435,0.41963008061602025,1.0,0,0.8546300806160203,-196.4666851990851
E01000157,0.359,0.4598997414046978,1.0,0,0.10089974140469782,28.1057775500551
E01000158,0.434,0.48703098831332703,1.0,0,0.05303098831332703,12.219121731181344
E01000159,-0.525,0.08430292426168784,1.0,0,0.6093029242616879,-116.05769985936911
E01000160,0.023,0.29586646714772663,1.0,0,0.2728664671477266,1186.3759441205505
E01000161,-0.519,0.18975595654046465,1.0,0,0.7087559565404646,-136.5618413372764
E01000162,-0.008,0.2765966461604161,1.0,0,0.28459664616041613,-3557.4580770052016
E01000163,-0.242,-0.06828156951873544,1.0,0,0.17371843048126456,-71.78447540548123
E01000164,-0.375,0.015669325370064695,1.0,0,0.3906693253700647,-104.1784867653506
E01000165,-1.255,-0.3930428436923442,1.0,0,0.8619571563076557,-68.681845124116
E01000166,-0.536,-0.16640915671663564,1.0,0,0.3695908432833644,-68.95351553794112
E01000167,-0.244,-0.15669108798211515,1.0,0,0.08730891201788485,-35.78234099093641
E01000168,0.124,0.10770342713510961,1.0,0,-0.01629657286489039,-13.142397471685799
E01000169,0.272,0.4399995898528032,1.0,0,0.16799958985280317,61.76455509294234
E01000170,0.219,0.3221715235022623,1.0,0,0.1031715235022623,47.110284704229365
E01000171,0.642,0.14086985576089786,1.0,0,-0.5011301442391022,-78.05765486590376
E01000172,0.31,0.3031560377295737,1.0,0,-0.006843962270426274,-2.207729764653637
