LSOA11CD,GeoBarriers_2019,GeoBarriers_2025_pred,confidence,boundary_changed,change,pct_change
E01000063,-1.005,19.404358587236246,1.0,0,20.409358587236245,-2030.7819489787312
E01000064,-0.014,21.48768658751758,1.0,0,21.50168658751758,-153583.47562512557
E01000065,-1.241,18.114104040373288,1.0,0,19.355104040373288,-1559.6377147762519
E01000066,0.145,20.874797361112094,1.0,0,20.729797361112094,14296.411973180757
E01000067,-0.579,18.516315289460962,1.0,0,19.095315289460963,-3297.9819152782325
E01000068,-0.316,16.952291092354965,1.0,0,17.268291092354964,-5464.649079859166
E01000069,-1.295,18.503684907549395,1.0,0,19.798684907549394,-1528.8559774169416
E01000070,-1.096,17.18289459583725,1.0,0,18.27889459583725,-1667.7823536347855
E01000071,-0.873,17.894505982787955,1.0,0,18.767505982787956,-2149.77159023917
E01000072,-1.006,19.214036048967305,1.0,0,20.220036048967305,-2009.9439412492352
E01000073,-0.946,20.658737507376074,1.0,0,21.604737507376075,-2283.798890843137
E01000074,-0.53,21.2409656466743,1.0,0,21.770965646674302,-4107.729367297038
E01000075,-0.45,19.167048470927917,1.0,0,19.617048470927916,-4359.344104650648
E01000076,-0.193,20.65180895432754,1.0,0,20.84480895432754,-10800.41914731997
E01000077,-1.411,18.57153053116386,1.0,0,19.98253053116386,-1416.196352314944
E01000078,-1.582,18.902698268184768,1.0,0,20.48469826818477,-1294.860826054663
E01000079,-0.354,21.184464446029192,1.0,0,21.53846444602919,-6084.311990403728
E01000080,-0.713,19.389771176484494,1.0,0,20.102771176484495,-2819.4629981044177
E01000081,-0.787,19.67125790539115,1.0,0,20.45825790539115,-2599.524511485534
E01000082,-1.197,18.738020619627,1.0,0,19.935020619627,-1665.4152564433584
E01000083,-0.899,18.506322622178036,1.0,0,19.405322622178037,-2158.545341732818
E01000084,-1.011,18.21348188654408,1.0,0,19.22448188654408,-1901.531343871818
E01000085,-1.424,16.81055076967544,1.0,0,18.23455076967544,-1280.516205735635
E01000086,-0.868,19.57441555193874,1.0,0,20.442415551938737,-2355.116999071283
E01000087,-0.209,21.41061273109212,1.0,0,21.61961273109212,-10344.31231152733
E01000088,-0.913,19.072681001173795,1.0,0,19.985681001173795,-2189.012157850361
E01000089,-0.138,25.441565521249675,1.0,0,25.579565521249677,-18535.917044383823
E01000090,-0.458,25.29516380325073,1.0,0,25.75316380325073,-5622.961529094045
