LSOA11CD,Barriers_2019,Barriers_2025_pred,confidence,boundary_changed,change,pct_change
E01000211,30.399,34.66570172930829,1.0,0,4.266701729308288,14.035664756433725
E01000212,25.312,23.114409677235138,1.0,0,-2.1975903227648637,-8.682009808647534
E01000213,30.621,22.523888858504844,1.0,0,-8.097111141495155,-26.443000364113374
E01000214,36.7,23.199640850192438,1.0,0,-13.500359149807565,-36.78571975424404
E01000215,30.762,32.46383412334406,1.0,0,1.7018341233440566,5.532260982199
E01000216,26.235,27.724443754376892,1.0,0,1.489443754376893,5.677315625602795
E01000217,24.166,30.40935825814023,1.0,0,6.24335825814023,25.835298593644914
E01000218,28.641,30.48787386619656,1.0,0,1.8468738661965602,6.448356782921548
E01000219,34.545,36.84603531839887,1.0,0,2.301035318398867,6.66097935561982
E01000220,28.881,31.803648245575108,1.0,0,2.9226482455751075,10.119622747048604
E01000221,55.984,37.82870198528725,1.0,0,-18.15529801471275,-32.429440580724396
E01000222,37.056,35.88734478989328,1.0,0,-1.1686552101067207,-3.1537543450634735
E01000223,47.877,38.40229862825423,1.0,0,-9.474701371745773,-19.789672226216705
E01000224,29.827,33.17340402229303,1.0,0,3.346404022293026,11.219378490270646
E01000225,28.248,28.654780461377655,1.0,0,0.4067804613776538,1.4400327859588422
E01000226,41.017,36.56153278509362,1.0,0,-4.455467214906385,-10.8624892481322
E01000227,29.152,29.729061392773083,1.0,0,0.5770613927730821,1.9794916052863682
E01000228,28.384,35.55721998651098,1.0,0,7.173219986510979,25.272054631168896
E01000229,43.196,38.665913390552475,1.0,0,-4.5300866094475225,-10.487282640632287
E01000230,20.598,33.96895273422038,1.0,0,13.370952734220381,64.91383985930858
E01000231,46.81,40.151063140511624,1.0,0,-6.658936859488378,-14.225457935245414
E01000232,29.815,29.859822595910494,1.0,0,0.044822595910492424,0.1503357233288359
E01000233,22.349,27.95987573779612,1.0,0,5.610875737796121,25.105712728963805
E01000234,25.044,28.901620913617094,1.0,0,3.857620913617094,15.403373716726936
E01000235,31.954,31.61063907502571,1.0,0,-0.3433609249742915,-1.0745475526515975
E01000236,25.167,27.073750304076995,1.0,0,1.9067503040769935,7.576390924929445
E01000237,26.964,35.79746171913883,1.0,0,8.833461719138832,32.76020515924504
E01000238,30.448,35.25556970036148,1.0,0,4.807569700361476,15.789443314376893
E01000239,50.079,40.56874393724346,1.0,0,-9.51025606275654,-18.99050712425675
E01000240,48.523,41.55013079606896,1.0,0,-6.97286920393104,-14.370235154320715
E01000241,34.775,33.249223576947244,1.0,0,-1.5257764230527542,-4.387566996557165
E01000242,42.621,29.092272010610582,1.0,0,-13.52872798938942,-31.741930009594846
E01000243,30.061,35.8276053624366,1.0,0,5.7666053624366,19.183012416209042
E01000244,29.684,31.351330959670257,1.0,0,1.667330959670256,5.616934913321169
E01000245,31.387,36.4955420407086,1.0,0,5.108542040708599,16.27598063118042
E01000246,33.776,21.308454299679504,1.0,0,-12.4675457003205,-36.91243989910143
E01000247,28.98,21.239897556820075,1.0,0,-7.740102443179925,-26.708428030296496
E01000248,17.762,16.397645920306175,1.0,0,-1.3643540796938254,-7.681308859890921
E01000249,21.352,15.30449453049849,1.0,0,-6.047505469501511,-28.322899351355893
E01000250,26.11,24.31634756288988,1.0,0,-1.7936524371101186,-6.869599529337873
E01000251,24.873,26.330494008382587,1.0,0,1.4574940083825858,5.859743530666126
E01000252,30.622,23.075387249503393,1.0,0,-7.546612750496607,-24.644414964720156
E01000253,36.662,25.742977734805926,1.0,0,-10.919022265194073,-29.782942188626027
E01000254,26.527,16.43999549884297,1.0,0,-10.087004501157033,-38.02542504300159
E01000255,30.356,34.7054108362101,1.0,0,4.349410836210097,14.328010397318808
E01000256,32.338,32.727205636171554,1.0,0,0.38920563617155324,1.203555062686478
E01000257,38.645,34.16642293773765,1.0,0,-4.478577062262353,-11.589020732985775
E01000258,21.856,25.775573256266927,1.0,0,3.9195732562669257,17.933625806492156
E01000259,30.248,33.11224375230047,1.0,0,2.864243752300471,9.469200450609861
E01000260,46.598,39.76753316110292,1.0,0,-6.830466838897081,-14.658283271593376
E01000261,35.954,23.218215045493864,1.0,0,-12.735784954506137,-35.42244243896684
E01000262,34.821,34.242768413985786,0.75,1,-0.578231586014212,-1.6605829413693232
E01000263,27.802,18.49401112445774,1.0,0,-9.30798887554226,-33.479565770600175
E01000264,30.864,35.137420875613856,1.0,0,4.273420875613855,13.845972251211297
E01000265,28.433,31.004842892496743,1.0,0,2.5718428924967434,9.045274478587357
E01000266,22.766,15.782079945621525,1.0,0,-6.983920054378473,-30.67697467442007
E01000267,33.384,17.737173354179163,1.0,0,-15.646826645820838,-46.869238694646654
E01000268,24.859,27.115511596572137,1.0,0,2.2565115965721354,9.07724203134533
E01000269,27.931,16.633868789896354,1.0,0,-11.297131210103647,-40.44656908132056
E01000270,26.546,18.423344472213213,1.0,0,-8.122655527786787,-30.598416061880457
E01000271,29.726,17.322058976398964,1.0,0,-12.403941023601035,-41.7275819942173
E01000272,22.373,13.645032121332212,1.0,0,-8.727967878667789,-39.011164701505336
E01000273,25.776,22.319971135920355,1.0,0,-3.456028864079645,-13.407933209495829
E01000274,25.14,25.365184931812273,1.0,0,0.22518493181227228,0.8957236746709318
E01000275,36.715,20.44362961851079,1.0,0,-16.271370381489213,-44.31804543507888
E01000276,26.175,12.191319742255839,1.0,0,-13.983680257744162,-53.423802321849706
